,Year,Player,PF,PTS
15626,2002,Ricky Davis,145,959
10019,1991,Nick Anderson,145,990
10032,1991,John Battle,145,1078
5345,1978,Bill Walton*,145,1097
11072,1993,Derek Harper,145,1126
19110,2008,Mike Miller,145,1147
7575,1985,Otis Birdsong,145,1155
19391,2009,Mike Bibby,145,1176
5056,1978,Fred Brown,145,1192
10439,1991,Orlando Woolridge,145,1330
20186,2010,Andre Iguodala,145,1401
6071,1980,Freeman Williams,145,1526
20225,2010,Joe Johnson,145,1619
10570,1992,Joe Dumars*,145,1635
12075,1995,Alton Lister,146,167
9745,1990,Caldwell Jones,146,173
11906,1995,Duane Causwell,146,209
17195,2005,Jarron Collins,146,213
3234,1971,Dorie Murrey,146,220
18878,2008,DeSagana Diop,146,226
11874,1995,Corie Blount,146,238
22291,2014,Jeff Ayres,146,240
4351,1975,Bob Weiss,146,258
16029,2003,Vin Baker,146,270
4270,1975,Otto Moore,146,279
2704,1969,Bill Dinwiddie,146,293
15008,2001,Calvin Booth,146,293
13010,1997,Todd Fuller,146,304
5206,1978,Tom LaGarde,146,306
20778,2011,Brendan Haywood,146,320
18249,2007,Renaldo Balkman,146,334
1042,1956,George Dempsey,146,340
8345,1987,Antoine Carr,146,342
21082,2011,Earl Watson,146,343
4362,1975,Earl Williams,146,371
17110,2005,Marcus Banks,146,372
22891,2015,Darrell Arthur,146,382
14046,1999,Calbert Cheaney,146,385
13409,1997,Sharone Wright,146,390
24252,2017,Dante Exum,146,412
18671,2007,Stromile Swift,146,419
3257,1971,Larry Siegfried,146,422
1080,1956,Dick McGuire*,146,425
454,1951,Don Rehfeldt,146,431
8787,1988,Dave Feitl,146,458
15262,2001,Desmond Mason,146,463
23605,2016,Willie Cauley-Stein,146,463
16450,2003,Charlie Ward,146,472
14663,2000,Hersey Hawkins,146,480
24586,2017,Jonathon Simmons,146,483
2811,1969,Pat Riley*,146,494
22395,2014,Dante Cunningham,146,510
22435,2014,Jared Dudley,146,511
23356,2015,Austin Rivers,146,530
6808,1982,Bill Willoughby,146,539
11010,1993,Vinny Del,146,543
23491,2015,Marvin Williams,146,577
19659,2009,Kyle Lowry,146,584
12104,1995,Xavier McDaniel,146,587
4289,1975,Jim Price,146,612
5968,1980,Eric Money,146,629
16600,2004,Speedy Claxton,146,634
22337,2014,Aaron Brooks,146,645
12699,1996,James Robinson,146,649
23413,2015,Josh Smith,146,660
7313,1984,Mike Glenn,146,681
8426,1987,Bob Hansen,146,696
16705,2004,Anfernee Hardaway,146,699
18213,2006,Mo Williams,146,703
16160,2003,Dion Glover,146,737
5568,1979,Butch Lee,146,755
11931,1995,Hubert Davis,146,820
22673,2014,Jameer Nelson,146,820
22902,2015,Harrison Barnes,146,827
20562,2011,Marco Belinelli,146,836
20243,2010,Carl Landry,146,839
20986,2011,Luke Ridnour,146,840
3453,1972,Jon McGlocklin,146,857
3860,1974,Jim Barnett,146,884
19453,2009,Mike Conley,146,895
11999,1995,A.C. Green,146,916
12054,1995,Jason Kidd,146,922
7277,1984,Johnny Davis,146,925
18424,2007,Grant Hill,146,934
21142,2012,Ryan Anderson,146,980
23795,2016,Joe Johnson,146,992
17268,2005,Pau Gasol,146,997
10915,1993,Michael Adams,146,1035
23960,2016,Zach Randolph,146,1040
18494,2007,Jason Kidd,146,1041
24522,2017,Chris Paul,146,1104
24151,2017,Bojan Bogdanovic,146,1113
13056,1997,Hersey Hawkins,146,1139
10352,1991,Byron Scott,146,1191
20570,2011,Chauncey Billups,146,1208
19781,2009,Jason Richardson,146,1212
22580,2014,Brandon Knight,146,1291
21926,2013,Kyrie Irving,146,1325
12341,1996,Terrell Brandon,146,1449
1477,1960,Bob Cousy*,146,1455
16536,2004,Mike Bibby,146,1506
23148,2015,Kyrie Irving,146,1628
1564,1960,Gene Shue,146,1712
17344,2005,LeBron James,146,2175
2099,1965,Wilt Chamberlain*,146,2534
18315,2007,Jarron Collins,147,204
4082,1974,John Wetzel,147,255
6224,1981,Armond Hill,147,255
17905,2006,Royal Ivey,147,260
8081,1986,Ken Johnson,147,263
73,1950,Frank Gates,147,287
6609,1982,George Johnson,147,300
4677,1977,Tom Boerwinkle,147,302
10302,1991,Will Perdue,147,307
262,1950,Wayne See,147,320
66,1950,Arnie Ferrin,147,340
235,1950,Don Ray,147,364
10313,1991,Ed Pinckney,147,366
12445,1996,Kevin Gamble,147,386
11381,1994,Anthony Avent,147,389
23051,2015,Dante Exum,147,393
9237,1989,Harvey Grant,147,396
22865,2015,Quincy Acy,147,398
17194,2005,Jason Collier,147,402
18445,2007,Ersan Ilyasova,147,402
8483,1987,Keith Lee,147,412
12382,1996,Tyrone Corbin,147,413
17643,2005,Eric Williams,147,424
23525,2016,Lavoy Allen,147,428
17721,2006,Mark Blount,147,429
1020,1955,Zeke Zawoluk,147,431
15844,2002,Hakeem Olajuwon*,147,435
1794,1962,Bob Sims,147,446
20285,2010,Antonio McDyess,147,446
6533,1982,John Douglas,147,447
552,1952,Don Lofgran,147,454
6830,1983,J.J. Anderson,147,463
16277,2003,Anthony Mason,147,466
22577,2014,Ryan Kelly,147,472
7720,1985,Jerome Kersey,147,473
4480,1976,Nate Hawthorne,147,479
6664,1982,Kevin Loder,147,493
17209,2005,Antonio Davis,147,501
2094,1965,Dave Budd,147,513
21579,2012,Marreese Speights,147,526
19184,2008,Vladimir Radmanovic,147,543
22274,2014,Alan Anderson,147,564
1497,1960,Joe Graboski,147,565
22269,2014,Al-Farouq Aminu,147,572
15546,2002,Jonathan Bender,147,581
14190,1999,Larry Johnson,147,587
14384,1999,Joe Smith,147,588
14364,1999,Arvydas Sabonis*,147,606
7817,1985,Dan Roundfield,147,611
24190,2017,Willie Cauley-Stein,147,611
1335,1958,Ron Sobie,147,630
11693,1994,Robert Pack,147,631
20497,2010,Nick Young,147,639
3021,1970,Ray Scott,147,653
1416,1959,Dick McGuire*,147,655
23116,2015,Devin Harris,147,665
989,1955,Jim Pollard*,147,681
12802,1996,Eric Williams,147,685
14470,2000,Tariq Abdul-Wahad,147,697
5446,1979,Jim Cleamons,147,752
7756,1985,Mike McGee,147,774
1068,1956,Bob Houbregs*,147,777
12411,1996,Sherman Douglas,147,792
1701,1962,Al Butler,147,796
8623,1987,Kelly Tripucka,147,798
20324,2010,Jameer Nelson,147,818
18653,2007,J.R. Smith,147,819
4555,1976,Louie Nelson,147,823
15183,2001,Larry Hughes,147,823
11397,1994,Muggsy Bogues,147,835
22581,2014,Kyle Korver,147,850
17040,2004,David Wesley,147,851
20114,2010,Ben Gordon,147,855
14900,2000,Rod Strickland,147,869
22287,2014,D.J. Augustin,147,930
22808,2014,Evan Turner,147,939
15984,2002,David Wesley,147,951
12946,1997,Dell Curry,147,1008
12310,1996,B.J. Armstrong,147,1012
16491,2004,Shareef Abdur-Rahim,147,1065
7633,1985,Larry Drew,147,1075
17611,2005,Antoine Walker,147,1082
14096,1999,Tim Duncan,147,1084
16732,2004,Larry Hughes,147,1148
23099,2015,Jeff Green,147,1168
23556,2016,Will Barton,147,1178
21525,2012,Paul Pierce,147,1181
11376,1994,B.J. Armstrong,147,1212
18753,2008,Ray Allen,147,1273
20511,2011,Ray Allen,147,1321
8863,1988,Magic Johnson*,147,1408
19205,2008,Brandon Roy,147,1416
23074,2015,Pau Gasol,147,1446
21646,2012,Russell Westbrook,147,1558
22263,2014,LaMarcus Aldridge,147,1603
15186,2001,Allen Iverson*,147,2207
16121,2003,DeSagana Diop,148,119
8476,1987,Greg Kite,148,123
22179,2013,Hasheem Thabeet,148,160
641,1953,Cal Christensen,148,212
16663,2004,Danny Fortson,148,217
8798,1988,Artis Gilmore*,148,265
14539,2000,Greg Buckner,148,275
4268,1975,Otto Moore,148,282
1368,1959,Connie Dierking,148,293
950,1955,Don Henriksen,148,308
11257,1993,Danny Schayes,148,322
8611,1987,Billy Thompson,148,332
560,1952,Bones McKinney,148,337
18145,2006,Etan Thomas,148,337
17449,2005,Eduardo Najera,148,354
10620,1992,Sidney Green,148,367
13834,1998,Brian Shaw,148,372
4883,1977,Lloyd Neal,148,397
23197,2015,Kosta Koufos,148,419
11157,1993,Lee Mayberry,148,424
7433,1984,Mike O'Koren,148,430
1649,1961,Bob McNeill,148,437
15402,2001,Malik Rose,148,437
1376,1959,Ed Fleming,148,461
1613,1961,Joe Graboski,148,465
16338,2003,Scott Padgett,148,466
22768,2014,Marreese Speights,148,508
17125,2005,Travis Best,148,514
4775,1977,Kevin Grevey,148,527
9587,1990,Chucky Brown,148,545
22883,2015,Alan Anderson,148,545
18654,2007,Joe Smith,148,553
12842,1997,Cory Alexander,148,577
269,1950,Howie Shannon,148,587
962,1955,George King,148,596
12038,1995,Mark Jackson,148,624
15905,2002,Rodney Rogers,148,629
9862,1990,Harold Pressley,148,636
1495,1960,Jack George,148,655
23023,2015,Boris Diaw,148,708
9803,1990,Vernon Maxwell,148,714
8630,1987,Darnell Valentine,148,726
20936,2011,Travis Outlaw,148,756
11277,1993,Steve Smith,148,766
3739,1973,John Mengelt,148,767
11438,1994,Calbert Cheaney,148,779
2282,1966,Red Kerr,148,781
20922,2011,Gary Neal,148,783
10455,1992,Danny Ainge,148,784
18300,2007,Rasual Butler,148,818
5594,1979,John Mengelt,148,826
16507,2004,Darrell Armstrong,148,840
1954,1964,Bob Boozer,148,856
16112,2003,Baron Davis,148,856
12256,1995,Spud Webb,148,878
10850,1992,Terry Teagle,148,880
21466,2012,Wesley Matthews,148,904
22843,2014,Deron Williams,148,915
14721,2000,Jason Kidd,148,959
4788,1977,Tom Henderson,148,975
15909,2002,Jalen Rose,148,982
5975,1980,Calvin Natt,148,1042
12658,1996,Wesley Person,148,1045
20729,2011,Kevin Garnett,148,1056
9626,1990,Dell Curry,148,1070
6232,1981,Geoff Huston,148,1073
23752,2016,Jrue Holiday,148,1089
23267,2015,Greg Monroe,148,1098
16894,2004,Tony Parker,148,1099
1633,1961,Sam Jones*,148,1171
15827,2002,Lamond Murray,148,1176
22084,2013,Chandler Parsons,148,1177
23689,2016,Pau Gasol,148,1187
15284,2001,Ron Mercer,148,1202
14925,2000,Nick Van,148,1275
11370,1994,Nick Anderson,148,1277
14999,2001,Mike Bibby,148,1301
20872,2011,Kevin Love,148,1476
23635,2016,Anthony Davis,148,1481
13719,1998,Reggie Miller*,148,1578
152,1950,John Mahnken,149,223
3232,1971,Dorie Murrey,149,231
21663,2012,Shelden Williams,149,268
17306,2005,Alan Henderson,149,273
365,1951,Vern Gardner,149,327
18750,2008,Malik Allen,149,338
18072,2006,Joel Przybilla,149,344
6626,1982,Edgar Jones,149,375
6865,1983,Marty Byrnes,149,391
10080,1991,Bimbo Coles,149,401
11899,1995,Michael Cage,149,407
14022,1999,Mark Bryant,149,407
14388,1999,Eric Snow,149,413
24293,2017,Jerami Grant,149,437
24483,2017,Larry Nance,149,449
874,1954,Pep Saul,149,452
21722,2013,Shane Battier,149,472
423,1951,Dick Mehen,149,474
8756,1988,Brad Davis,149,537
4979,1977,Marvin Webster,149,539
12909,1997,Jason Caffey,149,549
6047,1980,Dave Twardzik,149,567
1832,1963,Johnny Cox,149,573
2420,1967,Rudy LaRusso,149,578
21601,2012,Jason Thompson,149,583
24532,2017,Mason Plumlee,149,597
1380,1959,Jack George,149,619
9861,1990,Paul Pressey,149,628
24243,2017,Monta Ellis,149,630
5430,1979,Don Buse,149,640
23311,2015,Patrick Patterson,149,648
20557,2011,Jerryd Bayless,149,651
4978,1977,Nick Weatherspoon,149,652
7706,1985,Charles Jones,149,654
21312,2012,Alonzo Gee,149,665
23146,2015,Ersan Ilyasova,149,669
16353,2003,Scottie Pippen*,149,689
9692,1990,Darrell Griffith,149,733
13590,1998,Anthony Goldwire,149,751
8727,1988,Joe Barry,149,759
8747,1988,Dave Corzine,149,804
12153,1995,Wesley Person,149,814
8403,1987,Mike Evans,149,817
1923,1963,Frank Selvy,149,826
16918,2004,Tayshaun Prince,149,841
16206,2003,Larry Hughes,149,857
23745,2016,George Hill,149,894
4211,1975,Tom Henderson,149,902
6769,1982,David Thompson*,149,906
9656,1990,Kevin Edwards,149,938
10008,1991,Mahmoud Abdul-Rauf,149,942
14675,2000,Jeff Hornacek,149,953
13668,1998,Toni Kukoc,149,984
16011,2003,Ray Allen,149,1003
11060,1993,A.C. Green,149,1051
21903,2013,Gerald Henderson,149,1055
14478,2000,Derek Anderson,149,1080
22229,2013,David West,149,1250
10579,1992,Sean Elliott,149,1338
24575,2017,Dennis Schroder,149,1414
9110,1989,Michael Adams,149,1424
1742,1962,Sam Jones*,149,1435
16746,2004,LeBron James,149,1654
16213,2003,Allen Iverson*,149,2262
8652,1987,Dominique Wilkins*,149,2294
13190,1997,Eric Montross,150,182
12828,1996,David Wood,150,208
7612,1985,Jeff Cook,150,214
18469,2007,Jared Jeffries,150,223
797,1954,Chuck Cooper,150,234
13233,1997,Cherokee Parks,150,252
9850,1990,Will Perdue,150,294
3929,1974,Lamar Green,150,296
7427,1984,Swen Nater,150,311
12177,1995,Doc Rivers,150,321
18175,2006,Sasha Vujacic,150,321
16124,2003,Michael Doleac,150,328
16832,2004,Chris Mihm,150,330
21012,2011,Jason Smith,150,331
16544,2004,Calvin Booth,150,345
14326,1999,Olden Polynice,150,368
8241,1986,Elston Turner,150,369
9674,1990,Kenny Gattison,150,372
6784,1982,Danny Vranes,150,375
1552,1960,Phil Rollins,150,393
2853,1969,Bob Weiss,150,407
1499,1960,Si Green,150,429
3930,1974,Matt Guokas,150,429
6990,1983,Reggie Johnson,150,430
3809,1973,John Trapp,150,432
22674,2014,Andrew Nicholson,150,435
19579,2009,George Hill,150,438
3395,1972,Matt Guokas,150,446
10976,1993,Tony Campbell,150,449
11256,1993,Mike Sanders,150,454
17095,2005,Trevor Ariza,150,468
23201,2015,Shane Larkin,150,470
13539,1998,Terry Dehere,150,489
14623,2000,Derek Fisher,150,491
5150,1978,Ernie Grunfeld,150,502
1636,1961,Phil Jordon,150,521
1968,1964,Larry Costello,150,529
23326,2015,Quincy Pondexter,150,538
3654,1973,Fred Foster,150,547
15481,2001,Chris Whitney,150,558
18350,2007,Chris Duhon,150,558
12156,1995,Eric Piatkowski,150,566
24584,2017,Iman Shumpert,150,567
17630,2005,David Wesley,150,587
24325,2017,Willy Hernangomez,150,587
4185,1975,Keith Erickson,150,604
16177,2003,Anfernee Hardaway,150,615
18580,2007,Travis Outlaw,150,645
20126,2010,Donte Greene,150,647
18784,2008,Brandon Bass,150,654
5053,1978,Allan Bristow,150,666
4676,1977,Dave Bing*,150,678
4135,1975,Jim Brewer,150,685
12724,1996,Malik Sealy,150,712
16111,2003,Antonio Davis,150,738
1074,1956,George King,150,744
22838,2014,Martell Webster,150,759
10577,1992,Craig Ehlo,150,776
9268,1989,Dennis Hopson,150,788
21105,2011,Mo Williams,150,812
8569,1987,Cliff Robinson,150,815
13200,1997,Tracy Murray,150,817
15462,2001,Keith Van,150,831
486,1951,Max Zaslofsky,150,835
18181,2006,Gerald Wallace,150,836
18049,2006,Ruben Patterson,150,858
15788,2002,Donyell Marshall,150,859
22467,2014,Marc Gasol,150,859
4734,1977,Ernie DiGregorio,150,868
6536,1982,Larry Drew,150,874
15717,2002,Larry Hughes,150,895
17076,2005,Shareef Abdur-Rahim,150,909
22383,2014,Darren Collison,150,911
14701,2000,Avery Johnson,150,919
10098,1991,Walter Davis,150,924
3593,1973,Jim Barnett,150,971
19085,2008,Shawn Marion,150,972
1334,1958,Gene Shue,150,982
23669,2016,Derrick Favors,150,1016
21338,2012,James Harden,150,1044
12543,1996,Toni Kukoc,150,1065
23436,2015,Isaiah Thomas,150,1101
8313,1987,Thurl Bailey,150,1116
17773,2006,Jamal Crawford,150,1128
11489,1994,Kevin Edwards,150,1144
10627,1992,Derek Harper,150,1152
20705,2011,Raymond Felton,150,1164
24197,2017,Jordan Clarkson,150,1205
24290,2017,Eric Gordon,150,1217
13868,1998,Damon Stoudamire,150,1225
11002,1993,Dell Curry,150,1227
18136,2006,Wally Szczerbiak,150,1366
9860,1990,Terry Porter,150,1406
11359,1994,Mahmoud Abdul-Rauf,150,1437
19094,2008,Kevin Martin,150,1443
12752,1996,Latrell Sprewell,150,1473
1938,1963,Jerry West*,150,1489
10208,1991,Magic Johnson*,150,1531
15255,2001,Stephon Marbury,150,1598
1473,1960,Wilt Chamberlain*,150,2707
7697,1985,George Johnson,151,107
226,1950,Jack Phelan,151,226
3966,1974,Kevin Kunnert,151,231
14189,1999,Ervin Johnson,151,256
2169,1965,Jackie Moreland,151,272
6377,1981,Tree Rollins,151,278
5485,1979,Bayard Forrest,151,298
12300,1996,Ashraf Amaya,151,339
3248,1971,Mike Riordan,151,391
24323,2017,John Henson,151,392
7321,1984,Ernie Grunfeld,151,398
4304,1975,Fred Saunders,151,418
21467,2012,Jason Maxiell,151,424
22872,2015,Alexis Ajinca,151,443
9630,1990,Brad Davis,151,470
5859,1980,Ernie Grunfeld,151,474
10137,1991,Duane Ferrell,151,475
8994,1988,Russ Schoene,151,484
4571,1976,Kevin Restani,151,492
9190,1989,Brad Davis,151,497
9673,1990,Tom Garrick,151,508
23560,2016,Aron Baynes,151,514
8227,1986,Bernard Thompson,151,517
5221,1978,Cedric Maxwell,151,528
17585,2005,Kenny Thomas,151,530
9446,1989,Scott Skiles,151,546
7599,1985,Butch Carter,151,548
16423,2003,Maurice Taylor,151,562
6675,1982,Scott May,151,583
793,1954,Bill Calhoun,151,594
20344,2010,Anthony Parker,151,595
9878,1990,Doc Rivers,151,598
22849,2014,Marvin Williams,151,603
5417,1979,Mike Bratz,151,623
6756,1982,Phil Smith,151,634
16260,2003,Tyronn Lue,151,647
12623,1996,Lamond Murray,151,650
12816,1996,Walt Williams,151,658
8864,1988,Steve Johnson,151,662
11866,1995,Benoit Benjamin,151,675
3831,1973,Bob Weiss,151,717
7514,1984,Terry Tyler,151,722
10461,1992,Willie Anderson,151,744
1124,1956,Bobby Wanzer*,151,749
8629,1987,Terry Tyler,151,760
17011,2004,Keith Van,151,769
23893,2016,Nikola Mirotic,151,777
8845,1988,Jeff Hornacek,151,781
24463,2017,C.J. Miles,151,815
10537,1992,Bimbo Coles,151,816
24427,2017,Robin Lopez,151,839
11875,1995,Muggsy Bogues,151,862
20196,2010,Jarrett Jack,151,931
22859,2014,Tony Wroten,151,939
6564,1982,Kevin Grevey,151,945
10120,1991,Kevin Edwards,151,955
13302,1997,Detlef Schrempf,151,1022
12973,1997,Clyde Drexler*,151,1114
14776,2000,Ron Mercer,151,1148
12330,1996,Mookie Blaylock,151,1268
10580,1992,Dale Ellis,151,1272
23523,2016,LaMarcus Aldridge,151,1331
17348,2005,Antawn Jamison,151,1334
6477,1982,Ron Brewer,151,1357
10319,1991,Terry Porter,151,1381
7542,1984,Gus Williams,151,1497
24646,2017,John Wall,151,1805
17665,2006,Ray Allen,151,1955
13654,1998,Michael Jordan*,151,2357
8774,1988,T.R. Dunn,152,180
24460,2017,Salah Mejri,152,213
8806,1988,Stuart Gray,152,224
413,1951,John Mahnken,152,239
212,1950,Red Owens,152,240
15850,2002,Greg Ostertag,152,245
15124,2001,Jeff Foster,152,249
12833,1996,Haywoode Workman,152,279
24054,2016,Noah Vonleh,152,283
18296,2007,Greg Buckner,152,305
23020,2015,Matthew Dellavedova,152,319
20230,2010,DeAndre Jordan,152,336
7579,1985,Dudley Bradley,152,358
11662,1994,Sam Mitchell,152,362
9979,1990,Eddie Lee,152,371
9540,1989,Joe Wolf,152,386
7871,1985,Elston Turner,152,414
1373,1959,Mike Farmer,152,435
23127,2015,John Henson,152,470
4875,1977,Dave Meyers,152,485
21159,2012,Matt Barnes,152,491
11836,1994,Haywoode Workman,152,501
16896,2004,Ruben Patterson,152,507
787,1954,Irv Bemoras,152,509
20411,2010,Marreese Speights,152,532
5436,1979,Kenny Carr,152,533
3215,1971,Willie McCarter,152,540
6818,1982,Orlando Woolridge,152,548
6715,1982,Roger Phegley,152,556
3889,1974,Jim Cleamons,152,565
21885,2013,Tyler Hansbrough,152,568
9670,1990,Winston Garland,152,574
11683,1994,Johnny Newman,152,598
9559,1990,Michael Ansley,152,626
4364,1975,Nate Williams,152,627
19962,2010,Jerryd Bayless,152,630
16421,2003,Stromile Swift,152,647
17805,2006,Chris Duhon,152,647
13585,1998,Chris Gatling,152,656
19117,2008,Jamario Moon,152,661
17685,2006,Chucky Atkins,152,678
24159,2017,Trevor Booker,152,709
18707,2007,Earl Watson,152,726
14650,2000,Tom Gugliotta,152,738
14368,1999,Detlef Schrempf,152,752
6375,1981,Dave Robisch,152,757
20277,2010,Wesley Matthews,152,769
13745,1998,Hakeem Olajuwon*,152,772
20629,2011,Wilson Chandler,152,838
8938,1988,Larry Nance,152,843
18715,2007,Delonte West,152,845
13824,1998,Dennis Scott,152,888
19415,2009,Aaron Brooks,152,894
6907,1983,John Drew,152,932
11941,1995,Sherman Douglas,152,954
6451,1982,Mark Aguirre,152,955
14120,1999,Kevin Garnett,152,977
19113,2008,Cuttino Mobley,152,984
9185,1989,Quintin Dailey,152,1114
21097,2011,Deron Williams,152,1129
17426,2005,Cuttino Mobley,152,1134
20537,2011,D.J. Augustin,152,1178
20099,2010,Pau Gasol,152,1190
13664,1998,Kerry Kittles,152,1328
2649,1968,Jerry West*,152,1343
10789,1992,Pooh Richardson,152,1350
20069,2010,Tim Duncan,152,1395
11071,1993,Tim Hardaway,152,1419
21453,2012,Kevin Love,152,1432
22000,2013,Brook Lopez,152,1437
11794,1994,Clarence Weatherspoon,152,1506
19599,2009,Andre Iguodala,152,1541
17507,2005,Michael Redd,152,1723
24033,2016,Klay Thompson,152,1771
16930,2004,Michael Redd,152,1776
24421,2017,Damian Lillard,152,2024
7297,1984,Len Elmore,153,155
9359,1989,Paul Mokeski,153,165
6946,1983,Paul Griffin,153,173
